id_jogador,id_time,nome_jogador,posicao,nacionalidade,data_nascimento
205585,1771,Keny Arroyo,Meio-campista,Ecuador,2006-02-14
277675,1771,Murilo,Meio-campista,Brazil,2006-03-13
288902,1771,Rayan,Meio-campista,Brazil,2007-01-19
289855,1771,Rhuan Gabriel,Meio-campista,Brazil,2006-02-06
291156,1771,Danilo Gimenes,Meio-campista,Brazil,2007-02-25
40067,1771,Chico,Atacante,Brazil,1995-05-05
45490,1771,Matheus Pereira,Atacante,Brazil,1996-05-05
169004,1771,Bruno Rodrigues,Atacante,Brazil,1997-03-07
218422,1771,Neizer Villarreal,Atacante,Colombia,2005-04-24
224582,1771,Ruan,Atacante,Brazil,2006-08-10
272933,1771,Kenji,Atacante,Brazil,2006-01-30
276286,1771,Bruno Ferreira,Atacante,Brazil,2005-08-04
169277,1771,Marquinhos,Ponta Direito,Brazil,2003-04-07
91310,1771,Kaio Jorge,Centroavante,Brazil,2002-01-24
22040,1771,Luis Sinisterra,Ponta Esquerdo,Colombia,1999-06-17
6532,1771,Walace,Volante,Brazil,1995-04-04
1153,1771,Matheus Henrique,Meio-campista Central,Brazil,1997-12-19
297547,1771,Felipe Morais,Não Informado,Brazil,2008-08-29
13237,1772,Rafael Santos,Goleiro,Brazil,1989-03-14
73828,1772,Anderson,Goleiro,Brazil,1998-03-05
276113,1772,Matheus Aurélio,Goleiro,Brazil,1999-06-23
292444,1772,Kainã,Goleiro,Brazil,2005-05-17
1272,1772,Bruno Pacheco,Defensor,Brazil,1991-12-08
1274,1772,Rafael Thyere,Defensor,Brazil,1993-05-17
1675,1772,Marcinho,Defensor,Brazil,1995-06-08
